start_stop,end_stop,distance,bus,step,demand,stop_id,stop_name,geometry,step_demand,is_split
0,52277,0.17475000000000002,0,0,40.0,52277,Sherbrooke / Peel,POINT (-73.576634 45.501628),40.0,False
52277,0,0.17475000000000002,0,1,0.0,0,Depot,POINT (-73.575901 45.503256),40.0,False
0,53677,4.081598,1,0,33.0,53677,Queen-Mary / du Frère-André (Oratoire St-Joseph),POINT (-73.620431 45.493304),33.0,False
53677,50986,1.9388839999999998,1,1,27.0,50986,Queen-Mary / Earnscliffe,POINT (-73.630576 45.481833),60.0,False
50986,50727,2.307724,1,2,2.0,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),62.0,True
50727,50727,0.0,1,3,1.0,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),63.0,True
50727,50727,0.0,1,4,34.0,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),97.0,True
50727,0,8.091973,1,5,0.0,0,Depot,POINT (-73.575901 45.503256),97.0,False
0,52795,10.907525,3,0,14.0,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),14.0,True
52795,52795,0.0,3,1,60.0,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),74.0,True
52795,52795,0.0,3,2,3.0,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),77.0,True
52795,52603,1.213135,3,3,4.0,52603,Beaubien / Lacordaire,POINT (-73.565258 45.580168),81.0,False
52603,51741,4.49417,3,4,19.0,51741,Beaubien / De Lorimier,POINT (-73.594554 45.545404),100.0,False
51741,0,6.197413,3,5,0.0,0,Depot,POINT (-73.575901 45.503256),100.0,False
0,56199,3.891712,4,0,26.0,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),26.0,True
56199,56199,0.0,4,1,3.0,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),29.0,True
56199,56199,0.0,4,2,56.0,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),85.0,True
56199,56199,0.0,4,3,6.0,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),91.0,True
56199,56199,0.0,4,4,1.0,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),92.0,True
56199,0,3.891712,4,5,0.0,0,Depot,POINT (-73.575901 45.503256),92.0,False
0,51241,6.435759,5,0,40.0,51241,Station Villa-Maria,POINT (-73.619643 45.479704),40.0,False
51241,51032,0.949994,5,1,57.0,51032,Queen-Mary / Trans Island,POINT (-73.628631 45.484048),97.0,False
51032,0,5.535484,5,2,0.0,0,Depot,POINT (-73.575901 45.503256),97.0,False
0,51921,3.554495,8,0,34.0,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),34.0,True
51921,51750,0.951247,8,1,66.0,51750,du Parc / Saint-Joseph,POINT (-73.594163 45.518983),100.0,False
51750,0,2.755462,8,2,0.0,0,Depot,POINT (-73.575901 45.503256),100.0,False
0,52637,3.450887,9,0,8.0,52637,De Lorimier / Gauthier,POINT (-73.565087 45.531798),8.0,False
52637,51904,2.491956,9,1,91.0,51904,Papineau / escalier des Carrières,POINT (-73.58777 45.539114),99.0,False
51904,0,5.799021,9,2,0.0,0,Depot,POINT (-73.575901 45.503256),99.0,False
0,51921,3.554495,10,0,4.0,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),4.0,True
51921,51921,0.0,10,1,17.0,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),21.0,True
51921,51921,0.0,10,2,73.0,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),94.0,True
51921,51921,0.0,10,3,1.0,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),95.0,True
51921,0,3.554495,10,4,0.0,0,Depot,POINT (-73.575901 45.503256),95.0,False
0,50727,8.091973,11,0,4.0,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),4.0,True
50727,50727,0.0,11,1,71.0,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),75.0,True
50727,50727,0.0,11,2,8.0,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),83.0,True
50727,50727,0.0,11,3,17.0,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),100.0,True
50727,0,8.091973,11,4,0.0,0,Depot,POINT (-73.575901 45.503256),100.0,False
0,51781,6.463177,12,0,39.0,51781,Beaubien / des Écores,POINT (-73.592774 45.547472),39.0,False
51781,52520,2.512191,12,1,61.0,52520,Saint-Michel / Saint-Joseph,POINT (-73.567988 45.549551),100.0,False
52520,0,5.896254,12,2,0.0,0,Depot,POINT (-73.575901 45.503256),100.0,False
0,52795,10.907525,13,0,7.0,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),7.0,True
52795,52795,0.0,13,1,28.0,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),35.0,True
52795,52795,0.0,13,2,1.0,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),36.0,True
52795,53751,0.902176,13,3,54.0,53751,Beaubien / Place Beaubien,POINT (-73.563674 45.582842),90.0,False
53751,0,10.01751,13,4,0.0,0,Depot,POINT (-73.575901 45.503256),90.0,False
0,51029,8.098213,14,0,7.0,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),7.0,True
51029,51029,0.0,14,1,28.0,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),35.0,True
51029,51029,0.0,14,2,59.0,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),94.0,True
51029,0,8.098213,14,3,0.0,0,Depot,POINT (-73.575901 45.503256),94.0,False
0,56199,3.891712,15,0,13.0,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),13.0,True
56199,51069,3.237669,15,1,72.0,51069,Ogilvy / Querbes,POINT (-73.625268 45.529197),85.0,False
51069,0,5.641113,15,2,0.0,0,Depot,POINT (-73.575901 45.503256),85.0,False
0,52710,1.619427,16,0,7.0,52710,Saint-Laurent / Sainte-Catherine,POINT (-73.563637 45.509852),7.0,False
52710,52610,0.278109,16,1,1.0,52610,Saint-Laurent / Ontario,POINT (-73.566593 45.511244),8.0,False
52610,52647,1.614309,16,2,7.0,52647,Sherbrooke / Panet,POINT (-73.564917 45.524456),15.0,False
52647,52511,1.400455,16,3,37.0,52511,Saint-Laurent / Sherbrooke,POINT (-73.569769 45.512705),52.0,False
52511,52459,0.369944,16,4,21.0,52459,Sherbrooke / Jeanne-Mance,POINT (-73.570755 45.509167),73.0,False
52459,0,0.775681,16,5,0.0,0,Depot,POINT (-73.575901 45.503256),73.0,False
0,51372,6.619238,18,0,80.0,51372,Décarie / Côte-Saint-Antoine,POINT (-73.613443 45.476312),80.0,False
51372,51029,2.09028,18,1,1.0,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),81.0,True
51029,51029,0.0,18,2,3.0,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),84.0,True
51029,51029,0.0,18,3,14.0,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),98.0,True
51029,0,8.098213,18,4,0.0,0,Depot,POINT (-73.575901 45.503256),98.0,False
0,51921,3.554495,19,0,8.0,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),8.0,True
51921,51921,0.0,19,1,2.0,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),10.0,True
51921,51748,0.958584,19,2,88.0,51748,Saint-Laurent / Fairmount,POINT (-73.594362 45.523823),98.0,False
51748,0,3.470799,19,3,0.0,0,Depot,POINT (-73.575901 45.503256),98.0,False
