start_stop,end_stop,distance,bus,step,demand,stop_id,stop_name,geometry,step_demand,is_split
0,51241,6.435759,0,0,40,51241,Station Villa-Maria,POINT (-73.619643 45.479704),40,False
51241,51032,0.949994,0,1,57,51032,Queen-Mary / Trans Island,POINT (-73.628631 45.484048),97,False
51032,0,5.535484,0,2,0,0,Depot,POINT (-73.575901 45.503256),97,False
0,51029,8.098213,2,0,15,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),15,True
51029,51372,2.09028,2,1,80,51372,Décarie / Côte-Saint-Antoine,POINT (-73.613443 45.476312),95,False
51372,0,6.619238,2,2,0,0,Depot,POINT (-73.575901 45.503256),95,False
0,51750,2.755462,3,0,66,51750,du Parc / Saint-Joseph,POINT (-73.594163 45.518983),66,False
51750,0,2.755462,3,1,0,0,Depot,POINT (-73.575901 45.503256),66,False
0,52603,9.720320000000001,4,0,4,52603,Beaubien / Lacordaire,POINT (-73.565258 45.580168),4,False
52603,52795,1.213135,4,1,89,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),93,True
52795,0,10.907525,4,2,0,0,Depot,POINT (-73.575901 45.503256),93,False
0,51741,6.197413,5,0,19,51741,Beaubien / De Lorimier,POINT (-73.594554 45.545404),19,False
51741,53751,4.81729,5,1,54,53751,Beaubien / Place Beaubien,POINT (-73.563674 45.582842),73,False
53751,52795,0.902176,5,2,24,52795,Beaubien / François-Boivin,POINT (-73.559273 45.590246),97,True
52795,0,10.907525,5,3,0,0,Depot,POINT (-73.575901 45.503256),97,False
0,51921,3.554495,6,0,24,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),24,True
51921,51921,0.0,6,1,66,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),90,True
51921,52610,2.637532,6,2,1,52610,Saint-Laurent / Ontario,POINT (-73.566593 45.511244),91,False
52610,52710,0.278109,6,3,7,52710,Saint-Laurent / Sainte-Catherine,POINT (-73.563637 45.509852),98,False
52710,0,1.619427,6,4,0,0,Depot,POINT (-73.575901 45.503256),98,False
0,51748,3.470799,8,0,88,51748,Saint-Laurent / Fairmount,POINT (-73.594362 45.523823),88,False
51748,0,3.470799,8,1,0,0,Depot,POINT (-73.575901 45.503256),88,False
0,51781,6.463177,9,0,39,51781,Beaubien / des Écores,POINT (-73.592774 45.547472),39,False
51781,52520,2.512191,9,1,61,52520,Saint-Michel / Saint-Joseph,POINT (-73.567988 45.549551),100,False
52520,0,5.896254,9,2,0,0,Depot,POINT (-73.575901 45.503256),100,False
0,56199,3.891712,10,0,32,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),32,True
56199,56199,0.0,10,1,66,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),98,True
56199,0,3.891712,10,2,0,0,Depot,POINT (-73.575901 45.503256),98,False
0,52277,0.17475000000000002,11,0,40,52277,Sherbrooke / Peel,POINT (-73.576634 45.501628),40,False
52277,0,0.17475000000000002,11,1,0,0,Depot,POINT (-73.575901 45.503256),40,False
0,51029,8.098213,12,0,97,51029,Sherbrooke / Cavendish,POINT (-73.629216 45.463498),97,True
51029,0,8.098213,12,1,0,0,Depot,POINT (-73.575901 45.503256),97,False
0,52637,3.450887,13,0,8,52637,De Lorimier / Gauthier,POINT (-73.565087 45.531798),8,False
52637,51904,2.491956,13,1,91,51904,Papineau / escalier des Carrières,POINT (-73.58777 45.539114),99,False
51904,0,5.799021,13,2,0,0,Depot,POINT (-73.575901 45.503256),99,False
0,50727,8.091973,14,0,12,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),12,True
50727,50727,0.0,14,1,84,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),96,True
50727,50727,0.0,14,2,2,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),98,True
50727,0,8.091973,14,3,0,0,Depot,POINT (-73.575901 45.503256),98,False
0,51921,3.554495,16,0,49,51921,Saint-Joseph / Saint-Denis,POINT (-73.587891 45.52606),49,True
51921,52647,2.612596,16,1,7,52647,Sherbrooke / Panet,POINT (-73.564917 45.524456),56,False
52647,52511,1.400455,16,2,37,52511,Saint-Laurent / Sherbrooke,POINT (-73.569769 45.512705),93,False
52511,0,1.145625,16,3,0,0,Depot,POINT (-73.575901 45.503256),93,False
0,51069,5.641113,17,0,72,51069,Ogilvy / Querbes,POINT (-73.625268 45.529197),72,False
51069,56199,3.237669,17,1,7,56199,Côte-Sainte-Catherine / Pagnuelo,POINT (-73.609653 45.514425),79,True
56199,52459,3.3484249999999998,17,2,21,52459,Sherbrooke / Jeanne-Mance,POINT (-73.570755 45.509167),100,False
52459,0,0.775681,17,3,0,0,Depot,POINT (-73.575901 45.503256),100,False
0,50986,5.620824,19,0,27,50986,Queen-Mary / Earnscliffe,POINT (-73.630576 45.481833),27,False
50986,50727,2.307724,19,1,39,50727,Fielding / Cavendish,POINT (-73.641912 45.469159),66,True
50727,53677,4.246608,19,2,33,53677,Queen-Mary / du Frère-André (Oratoire St-Joseph),POINT (-73.620431 45.493304),99,False
53677,0,4.081598,19,3,0,0,Depot,POINT (-73.575901 45.503256),99,False
